Name,Value,MOE
1 Unit Buildings,166,
1 Unit Building Units,166,
"1 Unit Building Value ($1,000)",45959,
2 Unit Buildings,32,
2 Unit Building Units,64,
"2 Unit Building Value ($1,000)",9140,
3-4 Unit Buildings,3,
3-4 Unit Building Units,11,
"3-4 Unit Building Value ($1,000)",1602,
5+ Unit Buildings,41,
5+ Unit Building Units,2779,
"5+ Unit Building Value ($1,000)",371165,
