Name,Value,MOE
1 Unit Buildings,12081,
1 Unit Building Units,12081,
"1 Unit Building Value ($1,000)",3497517,
2 Unit Buildings,138,
2 Unit Building Units,276,
"2 Unit Building Value ($1,000)",50690,
3-4 Unit Buildings,142,
3-4 Unit Building Units,545,
"3-4 Unit Building Value ($1,000)",70501,
5+ Unit Buildings,187,
5+ Unit Building Units,5017,
"5+ Unit Building Value ($1,000)",805716,
