Name,Value,MOE
1 Unit Buildings,9360,
1 Unit Building Units,9360,
"1 Unit Building Value ($1,000)",2383914,
2 Unit Buildings,515,
2 Unit Building Units,1030,
"2 Unit Building Value ($1,000)",163451,
3-4 Unit Buildings,103,
3-4 Unit Building Units,356,
"3-4 Unit Building Value ($1,000)",29688,
5+ Unit Buildings,145,
5+ Unit Building Units,2096,
"5+ Unit Building Value ($1,000)",259538,
