Name,Value,MOE
1 Unit Buildings,19641,
1 Unit Building Units,19641,
"1 Unit Building Value ($1,000)",7459002,
2 Unit Buildings,298,
2 Unit Building Units,596,
"2 Unit Building Value ($1,000)",129043,
3-4 Unit Buildings,113,
3-4 Unit Building Units,410,
"3-4 Unit Building Value ($1,000)",86460,
5+ Unit Buildings,613,
5+ Unit Building Units,18757,
"5+ Unit Building Value ($1,000)",3369491,
