Name,Value,MOE
1 Unit Buildings,709,
1 Unit Building Units,709,
"1 Unit Building Value ($1,000)",230171,
2 Unit Buildings,60,
2 Unit Building Units,120,
"2 Unit Building Value ($1,000)",16608,
3-4 Unit Buildings,7,
3-4 Unit Building Units,23,
"3-4 Unit Building Value ($1,000)",3243,
5+ Unit Buildings,13,
5+ Unit Building Units,317,
"5+ Unit Building Value ($1,000)",32459,
