Name,Value,MOE
1 Unit Buildings,16009,
1 Unit Building Units,16009,
"1 Unit Building Value ($1,000)",5561664,
2 Unit Buildings,340,
2 Unit Building Units,680,
"2 Unit Building Value ($1,000)",112282,
3-4 Unit Buildings,281,
3-4 Unit Building Units,977,
"3-4 Unit Building Value ($1,000)",145686,
5+ Unit Buildings,402,
5+ Unit Building Units,9652,
"5+ Unit Building Value ($1,000)",1145413,
