Name,Value,MOE
1 Unit Buildings,65860,
1 Unit Building Units,65860,
"1 Unit Building Value ($1,000)",18308948,
2 Unit Buildings,433,
2 Unit Building Units,866,
"2 Unit Building Value ($1,000)",135287,
3-4 Unit Buildings,59,
3-4 Unit Building Units,203,
"3-4 Unit Building Value ($1,000)",51390,
5+ Unit Buildings,835,
5+ Unit Building Units,31924,
"5+ Unit Building Value ($1,000)",4245882,
