Name,Value,MOE
1 Unit Buildings,4927,
1 Unit Building Units,4927,
"1 Unit Building Value ($1,000)",1720550,
2 Unit Buildings,796,
2 Unit Building Units,1592,
"2 Unit Building Value ($1,000)",228261,
3-4 Unit Buildings,39,
3-4 Unit Building Units,148,
"3-4 Unit Building Value ($1,000)",25182,
5+ Unit Buildings,93,
5+ Unit Building Units,2837,
"5+ Unit Building Value ($1,000)",482835,
